datetime,PlotPoints,Message,Latitude,Longitude
6/20/2017 14:24,0-2574334,UNLIMITED-TRACK,32.56421,-117.32985
6/20/2017 14:24,0-2572498,UNLIMITED-TRACK,32.58956,-117.34143
6/20/2017 14:20,0-2573891,UNLIMITED-TRACK,32.59031,-117.33981
6/20/2017 14:19,0-2574334,UNLIMITED-TRACK,32.5645,-117.33034
6/20/2017 14:19,0-2572498,UNLIMITED-TRACK,32.58974,-117.34163
6/20/2017 14:16,0-2573760,UNLIMITED-TRACK,32.57859,-117.34018
6/20/2017 14:15,0-2573891,UNLIMITED-TRACK,32.59044,-117.34012
6/20/2017 14:15,0-2574334,UNLIMITED-TRACK,32.5648,-117.33078
6/20/2017 14:14,0-2572498,UNLIMITED-TRACK,32.58991,-117.34181
6/20/2017 14:11,0-2573760,UNLIMITED-TRACK,32.57872,-117.34032
6/20/2017 14:10,0-2573891,UNLIMITED-TRACK,32.59058,-117.34042
6/20/2017 14:10,0-2574334,UNLIMITED-TRACK,32.56525,-117.33113
6/20/2017 14:09,0-2572498,UNLIMITED-TRACK,32.59008,-117.3421
6/20/2017 14:06,0-2573760,UNLIMITED-TRACK,32.57882,-117.34047
6/20/2017 14:05,0-2573891,UNLIMITED-TRACK,32.59073,-117.3407
6/20/2017 14:05,0-2574334,UNLIMITED-TRACK,32.56572,-117.33147
6/20/2017 14:04,0-2572498,UNLIMITED-TRACK,32.5902,-117.34238
6/20/2017 14:01,0-2573760,UNLIMITED-TRACK,32.57895,-117.34055
6/20/2017 14:00,0-2573891,UNLIMITED-TRACK,32.59087,-117.34097
6/20/2017 14:00,0-2574334,UNLIMITED-TRACK,32.56617,-117.33183
6/20/2017 13:59,0-2572498,UNLIMITED-TRACK,32.59034,-117.34261
6/20/2017 13:57,0-2573760,UNLIMITED-TRACK,32.57907,-117.34064
6/20/2017 13:55,0-2573891,UNLIMITED-TRACK,32.59101,-117.34126
6/20/2017 13:55,0-2574334,UNLIMITED-TRACK,32.56662,-117.33218
6/20/2017 13:54,0-2572498,UNLIMITED-TRACK,32.59049,-117.34286
6/20/2017 13:51,0-2573760,UNLIMITED-TRACK,32.57922,-117.34076
6/20/2017 13:50,0-2573891,UNLIMITED-TRACK,32.59114,-117.34149
6/20/2017 13:50,0-2572498,UNLIMITED-TRACK,32.59063,-117.34306
6/20/2017 13:50,0-2574334,UNLIMITED-TRACK,32.56706,-117.33255
6/20/2017 13:46,0-2573760,UNLIMITED-TRACK,32.57935,-117.34085
6/20/2017 13:45,0-2573891,UNLIMITED-TRACK,32.59127,-117.34175
6/20/2017 13:45,0-2574334,UNLIMITED-TRACK,32.56748,-117.33284
6/20/2017 13:44,0-2572498,UNLIMITED-TRACK,32.59079,-117.34329
6/20/2017 13:41,0-2573760,UNLIMITED-TRACK,32.57952,-117.34108
6/20/2017 13:41,0-2573891,UNLIMITED-TRACK,32.59145,-117.34201
6/20/2017 13:40,0-2574334,UNLIMITED-TRACK,32.56793,-117.33319
6/20/2017 13:39,0-2572498,UNLIMITED-TRACK,32.59094,-117.34351
6/20/2017 13:36,0-2573760,UNLIMITED-TRACK,32.57977,-117.34122
6/20/2017 13:35,0-2573891,UNLIMITED-TRACK,32.59161,-117.34229
6/20/2017 13:35,0-2574334,UNLIMITED-TRACK,32.56828,-117.3336
6/20/2017 13:34,0-2572498,UNLIMITED-TRACK,32.59109,-117.34372
