"","Id","Buoy","UTC","UTCMilliseconds","ClipLength","DIFARBearing","DifarFrequency","SignalAmplitude","DifarGain","Species","TrackedGroup","posixDate","BuoyLat","BuoyLong","BoatLat","BoatLong","RealBearing","Distance","BuoyHeading.y","DifarFixed","CallType","Intensity","MatchedAngles","PlaybackNumber","AngleError","Detected","Time","DifarAdj","AdjError"
"1",15,"NE","2016-06-07 17:26:46.022",22,0.553812503814697,232,1195.3125,74.1929827053511,0.00989753244397652,"dn1","S1",2016-06-07 10:26:46,32.8239350461333,-117.575946307667,32.8184,-117.589331666667,243.80344023961,1.39566166252942,6.5,238.5,"dn","1",NA,"1",11.8034402396105,TRUE,0.127000093460083,243.7,0.103440239610507
"2",19,"NE","2016-06-07 17:26:48.539",539,0.425833344459534,234,1195.3125,83.5995569633075,0.125434837978255,"dn5","S1",2016-06-07 10:26:48,32.8239326969333,-117.575943371167,32.8184,-117.58931,243.781281302656,1.39397202834049,6.5,240.5,"dn","5",NA,"1",9.78128130265571,TRUE,2.64400005340576,245.7,-1.91871869734427
"3",23,"NE","2016-06-07 17:26:51.015",15,0.468833327293396,233,1195.3125,82.6602199065952,0.0989347375745281,"dn8","S1",2016-06-07 10:26:51,32.8239303860001,-117.5759404825,32.8183983333333,-117.589286666667,243.749143380894,1.392221794077,6.5,239.5,"dn","8",NA,"1",10.749143380894,TRUE,5.11999988555908,244.7,-0.950856619105991
"4",27,"NE","2016-06-07 17:26:53.660",660,0.638833343982697,230,814.453125,72.1974649714848,0.00282275264024024,"upX1","S1",2016-06-07 10:26:53,32.8239279173333,-117.575937396667,32.8183983333333,-117.589286666667,243.76454215913,1.39236060502445,6.5,236.5,"upX","1",NA,"1",13.7645421591299,TRUE,7.76500010490417,241.7,2.06454215912993
"5",31,"NE","2016-06-07 17:26:56.605",605,0.596833348274231,234,808.59375,83.8035804978813,0.0878850468649475,"upX5","S1",2016-06-07 10:26:56,32.8239251686666,-117.575933960833,32.818395,-117.589258333333,243.719690400928,1.39029649341654,6.5,240.5,"upX","5",NA,"1",9.71969040092804,TRUE,10.710000038147,245.7,-1.98030959907192
"6",35,"NE","2016-06-07 17:26:59.378",378,0.681833326816559,233,802.734375,83.7491114819735,0.115399501777284,"upX8","S1",2016-06-07 10:26:59,32.8239225805333,-117.575930725667,32.8183916666667,-117.589241666667,243.693670289537,1.38920437703094,6.5,239.5,"upX","8",NA,"1",10.6936702895371,TRUE,13.4830000400543,244.7,-1.00632971046292
"7",39,"NE","2016-06-07 17:27:02.235",235,0.468833327293396,233,814.453125,69.0084027221839,0.000698195096517577,"upY1","S1",2016-06-07 10:27:02,32.8239199139999,-117.5759273925,32.8183883333333,-117.589226666667,243.670955412129,1.38825693851282,6.5,239.5,"upY","1",NA,"1",10.6709554121289,TRUE,16.3400001525879,244.7,-1.02904458787106
"8",41,"NE","2016-06-07 17:27:04.370",370,0.383833318948746,233,820.3125,80.3896838115894,0.0238448261646493,"upY5","S1",2016-06-07 10:27:04,32.8239179213334,-117.575924901667,32.8183816666667,-117.589201666667,243.613082433825,1.38659592166217,6.5,239.5,"upY","5",NA,"1",10.6130824338252,TRUE,18.4749999046326,244.7,-1.08691756617475
"9",45,"NE","2016-06-07 17:27:06.502",502,0.340833336114883,231,820.3125,80.480897387571,0.0310957912602679,"upY8","S1",2016-06-07 10:27:06,32.8239159314668,-117.575922414334,32.8183816666667,-117.589195,243.614100247058,1.38614731805597,6.5,237.5,"upY","8",NA,"1",12.6141002470583,TRUE,20.606999874115,242.7,0.914100247058286
"10",49,"NE","2016-06-07 17:27:08.721",721,0.511812508106232,231,808.59375,72.6846853372876,0.00283312242202314,"upZ1","S1",2016-06-07 10:27:08,32.8239138604,-117.5759198255,32.81838,-117.589181666667,243.597286265643,1.38522541638794,6.5,237.5,"upZ","1",NA,"1",12.5972862656425,TRUE,22.8259999752045,242.7,0.897286265642549
"11",53,"NE","2016-06-07 17:27:11.238",238,0.468833327293396,233,820.3125,84.4407195640772,0.0562404360238481,"upZ5","S1",2016-06-07 10:27:11,32.8239115112001,-117.575916889,32.8183783333333,-117.589163333333,243.573577965217,1.3838994664511,6.5,239.5,"upZ","5",NA,"1",10.573577965217,TRUE,25.3429999351501,244.7,-1.12642203478299
"12",57,"NE","2016-06-07 17:27:13.713",713,0.468833327293396,234,808.59375,83.9440284038177,0.0811803921810633,"upZ8","S1",2016-06-07 10:27:13,32.8239092011999,-117.5759140015,32.818375,-117.589153333333,243.557084635467,1.3833529113584,6.5,240.5,"upZ","8",NA,"1",9.55708463546659,TRUE,27.8180000782013,245.7,-2.14291536453339
"13",61,"NE","2016-06-07 17:27:16.274",274,0.895833313465118,231,1001.953125,74.0705038481063,0.0420267451485353,"tone1","S1",2016-06-07 10:27:16,32.8239068109334,-117.575911013667,32.8183733333333,-117.589143333333,243.547965576665,1.38272888575712,6.5,237.5,"tone","1",NA,"1",12.5479655766649,TRUE,30.3789999485016,242.7,0.847965576664905
"14",65,"NE","2016-06-07 17:27:19.218",218,0.809833347797394,234,1001.953125,84.3555121350969,0.491800721512332,"tone5","S1",2016-06-07 10:27:19,32.8239040632001,-117.575907579,32.8183716666667,-117.589121666667,243.520907896672,1.38114593846461,6.5,240.5,"tone","5",NA,"1",9.52090789667216,TRUE,33.3229999542236,245.7,-2.17909210332783
"15",69,"NE","2016-06-07 17:27:22.290",290,0.724833309650421,233,1001.953125,83.7947247969958,0.419075394731549,"tone8","S1",2016-06-07 10:27:22,32.823901196,-117.575903995,32.81837,-117.589111666667,243.514762859859,1.38054856289366,6.5,239.5,"tone","8",NA,"1",10.5147628598588,TRUE,36.3949999809265,244.7,-1.18523714014111
"16",75,"NE","2016-06-07 17:29:10.706",706,0.425833344459534,230,1195.3125,76.2149006899494,0.0165636997700279,"dn1","S1",2016-06-07 10:29:10,32.8237996508668,-117.575776439067,32.8182933333333,-117.588501666667,242.759320902679,1.33896720649661,6.5,236.5,"dn","1",NA,"2",12.7593209026793,TRUE,144.8109998703,241.7,1.05932090267936
"17",78,"NE","2016-06-07 17:29:13.137",137,0.468833327293396,235,1195.3125,82.8888362784946,0.113198241319075,"dn5","S1",2016-06-07 10:29:13,32.8237973008999,-117.5757733598,32.8182916666667,-117.588495,242.755639326237,1.33863371403719,6.5,241.5,"dn","5",NA,"2",7.75563932623714,TRUE,147.242000102997,246.7,-3.94436067376284
